County,GovName,FileID,CompanyName,FoodName,Suitable,ItemType,MFDate,EXPDate,InspectionMethod,ReasonAndAmount,RegulationLimit,NonConformingProductQuantity,DisposalSituation,PostDate,K_Delete,FileExt
W,高雄市動物保護處,1758248372657,豪翼行銷有限公司,吶一口海洋雙饗宴,C,1,,2026/07/09,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，鉛定量極限 0.1ppm(mg/kg)。",初驗及複驗結果之重金屬鉛含量分別為6.8mg/Kg、7.3mg/Kg,5ppm,2759包,已完成回收銷毀,2025/09/19,0,png
G,彰化縣動物防疫所,1747202225042,樺隆有限公司,Mr.Bar時光鮮廚超大貓罐(鮪魚+蟹肉風味),C,3,2023/11/28,2026/11/28,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，砷定量極限 0.1ppm(mg/kg)。",重金屬砷11.4mg/kg,重金屬砷10.0mg/kg ,進口50箱(每箱24罐),回收銷毀完畢,2025/07/18,0,jpg
A,新北市政府動物保護防疫處,1749695294968,威饌股份有限公司,COOK點心系列 鮭魚粉,DC,5,2024/12/30,2026/06/29,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，汞定量極限 0.1ppm(mg/kg)。",複驗分析報告與初次送驗結果相同，重金屬汞含量皆為0.7ppm(mg/kg),0.3ppm,【影響效期】2024.12.30 – 2026.06.29/2024.11.27 – 2026.05.26/2025.02.10 – 2026.08.09(大約1958多包),銷毀完畢,2025/06/12,0,png
A,新北市政府動物保護防疫處,1749696623596,竣百有限公司,Chian Pin 強品 貓罐 400G-鮪魚+牛肉,C,3,2024/08/03,2027/08/02,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，砷定量極限 0.1ppm(mg/kg)。",重金屬砷含量10.4mg/kg,含有水產動物或藻類及其產品者，於百分之十二含水率時：無機砷2ppm，總砷10 ppm。,4733罐,完成銷毀,2025/06/12,0,jpg
G,彰化縣動物防疫所,1745464149061,合泰飼料有限公司,萃雞油,D,7,2025/03/12,2025/05/11,丁基羥基甲氧苯和二丁基羥基甲苯標準檢驗方法指導書(文件編號:B-7.2-02-36) 參考MOHWA0021.02，二丁基羥基甲苯(BHT)定量極限 10ppm (mg/kg),"索金（Ethoxyquin）、丁羥甲（Butylated hydroxytol-uene, BHT）及丁羥甲醚（Bu-tylated hydroxyanisole, BHA）含量總和為195ppm","索金（Ethoxyquin）、丁羥甲（Butylated hydroxytol-uene, BHT）及丁羥甲醚（Bu-tylated hydroxy「寵物食品病原微生物與有害健康物質種類及安全容許量標準」第7條第1款規定，含量總和150 ppm",100克1包生產約100包,已於114年4月15日完成銷毀,2025/04/24,0,jpg
C,桃園市政府動物保護處,1743589141654,帝寶興業有限公司,鮮一番（鮪魚+蟹肉）,C,3,2024/05/10,2027/05/10,"自訂方法-飼料中重金屬含量標準檢驗方法指導書（文件編號:B-7.2-05-03）參考MOHWH0014.03, AOAC 986.15, AOAC984.27.",砷11.0mg/kg（換算水分12%之砷含量）,0.1ppm(mg/kg),共進口308箱(每箱48罐)170克裝,"產品下架,陸續回收至公司內等待銷毀",2025/04/02,0,png
M,屏東縣政府農業處,1742960912806,非貓不可股份有限公司,每日均衡主食罐(綜合海鮮),C,3,2025/01/14,2028/01/13,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，砷定量極限 0.1ppm(mg/kg)。",重金屬砷檢驗結果10.4mg/kg,重金屬砷10.0mg/kg,2592罐(24入/箱*108箱),不合格產品(製造批號250141303)皆尚未出庫，除114年(下同)3月5日開封一箱24罐提供6罐供本府抽驗(該箱剩餘18罐已於3月13日由廠商自行銷毀)，廠內剩餘總庫存數2568罐(24入/箱*107箱)已於4月10日由本府監督全數完成銷毀並於5月20日清運完畢。,2025/03/26,0,jpg
G,彰化縣動物防疫所,1740361556053,樺隆有限公司,喵Bar+全能貓餐罐-鮪魚+鮭魚400g,C,3,2024/11/01,2027/11/01,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC",重金屬砷10.1mg/kg ,重金屬砷10.0mg/kg ,共進口240箱(每箱24罐)400克裝,超標批次產品完成回收及銷毀,2025/02/24,0,jpg
S,臺中市動物保護防疫處,1733207911546,法娃國際股份有限公司,Oki生鮮食肉骨餅(彩色營養均衡),DC,4,,2024/10/24,1.	自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。/ 2.	自訂方法-飼料病原性大腸桿菌標準檢驗方法指導書(文件編號:B-7.2-01-34a) 參考MOHWM0017.03。,沙門氏桿菌陽性、病原性大腸桿菌陽性,不得含有,製造875盤(300公克/1盤)，已無庫存,府授農動稽字第1130317109號裁處新臺幣5萬元罰鍰。,2024/12/03,0,jpg
S,臺中市動物保護防疫處,1733207998600,法娃國際股份有限公司,Oki生鮮食肉骨餅(彩色營養均衡),DC,4,,2025/04/25,自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。,沙門氏桿菌陽性,不得含有,製造900盤(300公克/1盤)，庫存剩餘94份(50公克/1份)，共回收銷毀4.7公斤。,府授農動稽字第1130317109號裁處新臺幣5萬元罰鍰，並已確實銷毀。,2024/12/03,0,jpg
S,臺中市動物保護防疫處,1733208059446,法娃國際股份有限公司,Oki生鮮食肉骨餅(彩色營養均衡),DC,4,,2025/07/04,自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。,沙門氏桿菌陽性,不得含有,製造2478盤，回收銷毀176盤(300公克/1盤)12份(50公克/1份)，共回收銷毀53.4公斤。,府授農動稽字第1130339264號裁處新臺幣5萬元罰鍰，並已確實銷毀。,2024/12/03,0,jpg
S,臺中市動物保護防疫處,1733208133285,法娃國際股份有限公司,Oki生鮮食肉骨餅(貓味專屬海陸餐),C,4,,2025/05/08,自訂方法-飼料病原性大腸桿菌標準檢驗方法指導書(文件編號:B-7.2-01-34a) 參考MOHWM0017.03。,病原性大腸桿菌陽性,不得含有,製造1680盤，回收銷毀48盤(300公克/1盤)10份(50克/1份)，共回收銷毀14.9公斤。,府授農動稽字第1130339264號裁處新臺幣5萬元罰鍰，並已確實銷毀。,2024/12/03,0,jpg
S,臺中市動物保護防疫處,1733208200981,法娃國際股份有限公司,Oki生鮮食肉骨棒(低敏新奇蛋白質機能),DC,4,,2025/06/17,自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。,沙門氏桿菌陽性,不得含有,製造642份，回收銷毀70份(1000公克/1份)，共回收銷毀7公斤。,府授農動稽字第1130339264號裁處新臺幣5萬元罰鍰，並已確實銷毀。,2024/12/03,0,jpg
S,臺中市動物保護防疫處,1733208280531,法娃國際股份有限公司,Oki生鮮食肉骨棒(彩色營養均衡),DC,4,,2025/09/25,1.	自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。/ 2.	自訂方法-飼料病原性大腸桿菌標準檢驗方法指導書(文件編號:B-7.2-01-34a) 參考MOHWM0017.03。,沙門氏桿菌陽性、病原性大腸桿菌陽性,不得含有,製造300份，回收銷毀49份(1000公克/1份)，共回收銷毀4.9公斤。,府授農動稽字第1130339264號裁處新臺幣5萬元罰鍰，並已確實銷毀。,2024/12/03,0,jpg
U,臺南市動物防疫保護處,1733208397386,壹士達寵物有限公司,喵洽普鮪魚凍乾,C,5,2023/11/02,2025/10/31,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，汞定量極限 0.1ppm(mg/kg)。",重金屬汞檢驗結果3.38ppm,重金屬汞含量不得超過0.4ppm基準,進口數量4032罐。,回收數量433罐已查封存查，預計12月中進場銷毀。,2024/12/03,0,jpg
A,新北市政府動物保護防疫處,1733208471424,圓寵有限公司,卡尼生肉餐羊肉生肉餐-犬貓生食,DC,4,2024/07/11,2025/07/11,自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01,沙門氏菌陽性,不得含有,"一盒12入/每入110克。本批次共生產76盒，總重量100,320克",新北市政府動保處於113年11月22日以新北動防寵字第1133321056號函請該公司立即將該批產品下架回收，並於文到次日起10日內陳述意見，後續將依動保法規定派員至現場監督銷毀作業，並行政裁處。,2024/12/03,0,jpg
U,臺南市動物防疫保護處,1726644417340,弘澤有限公司,雞肉泥,DC,4,2024/04/10,,自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。,檢出沙門氏桿菌陽性,不得含有,該製造批次共60包,已全數回收下架,2024/08/19,0,jpg
A,新北市政府動物保護防疫處,1726644726065,寵多福寵物用品有限公司,香酥脆管,DC,5,2024/06/14,2025/12/13,自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。,檢出沙門氏桿菌陽性,不得含有,該製造批次共50包(100g*50包，共5kg),已全數回收下架,2024/08/19,0,jpg
A,新北市政府動物保護防疫處,1726645134615,毛小三手作坊,香酥鯊魚骨,D,5,2024/06/14,2025/06/13,"自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。/ 自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，砷定量極限 0.1ppm(mg/kg)。/ 自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，汞定量極限 0.1ppm(mg/kg)。",檢出沙門氏桿菌陽性、重金屬總砷含量25.2 ppm超出安全容許量標準(10ppm)、重金屬汞含量0.7 ppm超出安全容許量標準(0.4 ppm),沙門氏桿菌不得含有、重金屬總砷含量10ppm、重金屬汞含量0.4ppm,該批號產品共40包(80g*40包，共3.2 kg),已全數回收下架,2024/08/19,0,jpg
Q,基隆市動物保護防疫所,1726645311806,貓侍股份有限公司,貓侍冷凍乾燥零食-鮭鯊丁,DC,5,2023/12/06,2025/06/05,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，汞定量極限 0.1ppm(mg/kg)。",檢出重金屬汞含量2.5 ppm超出安全容許量標準(0.4 ppm),重金屬汞含量0.4 ppm,該批號產品共410包,已全數回收下架,2024/08/19,0,png
U,臺南市動物防疫保護處,1726643970182,毛能寵物營養生技股份有限公司,GOMO PET FOOD 成犬無穀牛肉根島蝦,D,1,2023/08/11,,自訂方法-飼料病原性大腸桿菌標準檢驗方法指導書(文件編號:B-7.2-01-34a) 參考MOHWM0017.03,檢出重金屬鎘2.2 ppm，超出安全容許量標準(2ppm),2 ppm,該製造批號共375包,已全數回收下架,2024/03/08,0,jpeg
